Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Revenue,Margin,Ship Days,Order Returned,Shipping TAT
26,IN-2017-76464,6/13/2017,6/15/2017,First Class,DK-13090,Dave Kipp,Consumer,Semarang,Jawa Tengah,Indonesia,Southeast Asia,OFF-AR-10000027,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Easy-Erase",61.1667,3,0.27,10.0467,183.5001,66.66666666666667,2,No,First Class
27,IN-2017-76464,6/13/2017,6/15/2017,First Class,DK-13090,Dave Kipp,Consumer,Semarang,Jawa Tengah,Indonesia,Southeast Asia,FUR-CH-10003009,Furniture,Chairs,"Novimex Swivel Stool, Adjustable",243.747,2,0.27,-6.693,487.494,50,2,No,First Class
28,IN-2015-32126,9/3/2015,9/9/2015,Standard Class,GA-14515,George Ashbrook,Consumer,Las Pinas,Metro Manila,Philippines,Southeast Asia,FUR-CH-10001313,Furniture,Chairs,"SAFCO Steel Folding Chair, Black",249.84,4,0.25,69.84,999.36,75,6,No,Standard Class
29,IN-2015-32126,9/3/2015,9/9/2015,Standard Class,GA-14515,George Ashbrook,Consumer,Las Pinas,Metro Manila,Philippines,Southeast Asia,OFF-ST-10003837,Office Supplies,Storage,"Tenex Lockers, Single Width",561.495,5,0.45,-316.605,2807.475,80,6,No,Standard Class
30,IN-2018-12575,11/24/2018,11/29/2018,Standard Class,TG-21310,Toby Gnade,Consumer,Brisbane,Queensland,Australia,Oceania,OFF-AR-10000058,Office Supplies,Art,"Stanley Canvas, Water Color",94.77,2,0.1,25.23,189.54,50,5,No,Second Class
31,IN-2018-29697,10/6/2018,10/6/2018,Same Day,JC-15340,Jasper Cacioppo,Consumer,Rockhampton,Queensland,Australia,Oceania,OFF-AR-10004486,Office Supplies,Art,"Sanford Canvas, Blue",136.404,3,0.1,24.174,409.212,66.66666666666666,0,No,Same day
32,IN-2018-29697,10/6/2018,10/6/2018,Same Day,JC-15340,Jasper Cacioppo,Consumer,Rockhampton,Queensland,Australia,Oceania,OFF-PA-10000694,Office Supplies,Paper,"Green Bar Message Books, Premium",64.233,3,0.1,15.633,192.699,66.66666666666666,0,No,Same day
33,IN-2018-29697,10/6/2018,10/6/2018,Same Day,JC-15340,Jasper Cacioppo,Consumer,Rockhampton,Queensland,Australia,Oceania,TEC-CO-10003702,Technology,Copiers,"Brother Ink, Digital",793.476,6,0.1,343.836,4760.856,83.33333333333333,0,No,Same day
34,IN-2017-55051,7/30/2017,8/5/2017,Standard Class,AM-10705,Anne McFarland,Consumer,Ho Chi Minh City,Ho Chí Minh City,Vietnam,Southeast Asia,OFF-LA-10002139,Office Supplies,Labels,"Novimex Color Coded Labels, Alphabetical",20.3184,2,0.17,0.2184,40.6368,50,6,No,Standard Class
35,IN-2017-55051,7/30/2017,8/5/2017,Standard Class,AM-10705,Anne McFarland,Consumer,Ho Chi Minh City,Ho Chí Minh City,Vietnam,Southeast Asia,TEC-AC-10001500,Technology,Accessories,"Logitech Memory Card, Erganomic",268.1535,5,0.47,-207.4965,1340.7675,80,6,No,Standard Class
36,IN-2017-55051,7/30/2017,8/5/2017,Standard Class,AM-10705,Anne McFarland,Consumer,Ho Chi Minh City,Ho Chí Minh City,Vietnam,Southeast Asia,TEC-AC-10003750,Technology,Accessories,"Memorex Memory Card, Erganomic",318.2544,6,0.47,-114.1056,1909.5263999999997,83.33333333333333,6,No,Standard Class
37,IN-2017-55051,7/30/2017,8/5/2017,Standard Class,AM-10705,Anne McFarland,Consumer,Ho Chi Minh City,Ho Chí Minh City,Vietnam,Southeast Asia,TEC-CO-10001954,Technology,Copiers,"Brother Wireless Fax, Laser",238.6503,1,0.37,22.7103,238.6503,0,6,No,Standard Class
38,ID-2018-76618,8/12/2018,8/14/2018,Second Class,RB-19330,Randy Bradley,Consumer,Perth,Western Australia,Australia,Oceania,OFF-ST-10004830,Office Supplies,Storage,"Eldon Lockers, Blue",178.119,1,0.1,-15.861,178.119,0,2,No,First Class
39,ID-2018-76618,8/12/2018,8/14/2018,Second Class,RB-19330,Randy Bradley,Consumer,Perth,Western Australia,Australia,Oceania,FUR-CH-10003836,Furniture,Chairs,"Harbour Creations Rocking Chair, Red",397.143,3,0.1,70.533,1191.4289999999999,66.66666666666666,2,No,First Class
40,ID-2018-76618,8/12/2018,8/14/2018,Second Class,RB-19330,Randy Bradley,Consumer,Perth,Western Australia,Australia,Oceania,OFF-BI-10000340,Office Supplies,Binders,"Avery Binding Machine, Clear",608.58,14,0.1,0,8520.12,92.85714285714286,2,No,First Class
41,ID-2018-76618,8/12/2018,8/14/2018,Second Class,RB-19330,Randy Bradley,Consumer,Perth,Western Australia,Australia,Oceania,FUR-FU-10004158,Furniture,Furnishings,"Deflect-O Frame, Black",99.036,1,0.1,29.706,99.036,0,2,No,First Class
42,ID-2017-34709,4/16/2017,4/22/2017,Standard Class,LC-16870,Lena Cacioppo,Consumer,Melbourne,Victoria,Australia,Oceania,OFF-BI-10004098,Office Supplies,Binders,"Acco 3-Hole Punch, Durable",199.206,7,0.1,-20.034,1394.442,85.71428571428572,6,No,Standard Class
43,IN-2016-70325,1/12/2016,1/16/2016,Standard Class,AB-10015,Aaron Bergman,Consumer,Kolhapur,Maharashtra,India,Central Asia,TEC-AC-10002719,Technology,Accessories,"Enermax Router, Programmable",1039.32,4,0,301.32,4157.28,75,4,No,Second Class
44,IN-2016-70325,1/12/2016,1/16/2016,Standard Class,AB-10015,Aaron Bergman,Consumer,Kolhapur,Maharashtra,India,Central Asia,TEC-AC-10004054,Technology,Accessories,"Memorex Keyboard, Bluetooth",142.68,2,0,45.6,285.36,50,4,No,Second Class
45,IN-2015-38202,8/18/2015,8/24/2015,Standard Class,DV-13045,Darrin Van Huff,Corporate,Perth,Western Australia,Australia,Oceania,TEC-AC-10001639,Technology,Accessories,"Belkin Flash Drive, Erganomic",107.325,3,0.1,9.495,321.975,66.66666666666667,6,No,Standard Class
46,IN-2015-38202,8/18/2015,8/24/2015,Standard Class,DV-13045,Darrin Van Huff,Corporate,Perth,Western Australia,Australia,Oceania,OFF-BI-10002632,Office Supplies,Binders,"Acco Binding Machine, Recycled",138.915,3,0.1,26.235,416.745,66.66666666666667,6,No,Standard Class
47,IN-2015-38202,8/18/2015,8/24/2015,Standard Class,DV-13045,Darrin Van Huff,Corporate,Perth,Western Australia,Australia,Oceania,OFF-EN-10001789,Office Supplies,Envelopes,"Kraft Peel and Seal, Set of 50",36.882,2,0.1,-0.858,73.764,50,6,No,Standard Class
48,IN-2015-38202,8/18/2015,8/24/2015,Standard Class,DV-13045,Darrin Van Huff,Corporate,Perth,Western Australia,Australia,Oceania,TEC-CO-10000786,Technology,Copiers,"Canon Fax Machine, Color",287.847,1,0.1,28.767,287.847,0,6,No,Standard Class
49,IN-2016-10790,10/24/2016,10/28/2016,Standard Class,JE-15610,Jim Epp,Corporate,Launceston,Tasmania,Australia,Oceania,TEC-PH-10004300,Technology,Phones,"Apple Office Telephone, Cordless",245.268,4,0.1,100.788,981.072,75,4,No,Second Class
50,IN-2018-71235,9/17/2018,9/17/2018,Same Day,NC-18625,Noah Childs,Corporate,Maryborough,Queensland,Australia,Oceania,FUR-BO-10000112,Furniture,Bookcases,"Dania Corner Shelving, Pine",333.234,3,0.1,66.564,999.702,66.66666666666667,0,No,Same day
51,IN-2018-71235,9/17/2018,9/17/2018,Same Day,NC-18625,Noah Childs,Corporate,Maryborough,Queensland,Australia,Oceania,OFF-PA-10000453,Office Supplies,Paper,"Xerox Cards & Envelopes, 8.5 x 11",88.398,2,0.1,24.498,176.796,50,0,No,Same day
52,IN-2016-29571,9/28/2016,10/4/2016,Standard Class,MD-17860,Michael Dominguez,Corporate,Bareilly,Uttar Pradesh,India,Central Asia,TEC-PH-10001457,Technology,Phones,"Apple Smart Phone, Full Size",3187.5,5,0,350.55,15937.5,80,6,No,Standard Class
53,ID-2018-17265,3/1/2018,3/5/2018,Standard Class,KB-16240,Karen Bern,Corporate,Kuala Lumpur,Kuala Lumpur,Malaysia,Southeast Asia,OFF-EN-10001491,Office Supplies,Envelopes,"Jiffy Interoffice Envelope, Set of 50",278.64,6,0,55.62,1671.84,83.33333333333333,4,No,Second Class
54,IN-2017-34702,9/14/2017,9/19/2017,Standard Class,EM-13960,Eric Murdock,Consumer,Adelaide,South Australia,Australia,Oceania,OFF-ST-10000704,Office Supplies,Storage,"Rogers File Cart, Blue",379.809,3,0.1,113.859,1139.4270000000001,66.66666666666667,5,No,Second Class
55,IN-2017-34702,9/14/2017,9/19/2017,Standard Class,EM-13960,Eric Murdock,Consumer,Adelaide,South Australia,Australia,Oceania,FUR-BO-10004806,Furniture,Bookcases,"Safco Corner Shelving, Traditional",1210.626,9,0.1,376.596,10895.634,88.88888888888889,5,No,Second Class
56,IN-2017-34702,9/14/2017,9/19/2017,Standard Class,EM-13960,Eric Murdock,Consumer,Adelaide,South Australia,Australia,Oceania,FUR-FU-10003939,Furniture,Furnishings,"Tenex Photo Frame, Duo Pack",326.97,7,0.1,94.29,2288.79,85.71428571428571,5,No,Second Class
57,IN-2017-34702,9/14/2017,9/19/2017,Standard Class,EM-13960,Eric Murdock,Consumer,Adelaide,South Australia,Australia,Oceania,FUR-FU-10001477,Furniture,Furnishings,"Rubbermaid Stacking Tray, Black",181.44,8,0.1,24,1451.52,87.5,5,No,Second Class
58,IN-2017-34702,9/14/2017,9/19/2017,Standard Class,EM-13960,Eric Murdock,Consumer,Adelaide,South Australia,Australia,Oceania,OFF-AR-10002797,Office Supplies,Art,"Sanford Highlighters, Blue",70.875,5,0.1,15.675,354.375,80,5,No,Second Class
59,IN-2017-34702,9/14/2017,9/19/2017,Standard Class,EM-13960,Eric Murdock,Consumer,Adelaide,South Australia,Australia,Oceania,TEC-AC-10000420,Technology,Accessories,"Belkin Router, USB",466.128,2,0.1,176.088,932.256,50,5,No,Second Class
60,IN-2017-34702,9/14/2017,9/19/2017,Standard Class,EM-13960,Eric Murdock,Consumer,Adelaide,South Australia,Australia,Oceania,TEC-CO-10003393,Technology,Copiers,"Sharp Personal Copier, Digital",969.084,9,0.1,-75.546,8721.756,88.88888889,5,No,Second Class
61,IN-2017-34702,9/14/2017,9/19/2017,Standard Class,EM-13960,Eric Murdock,Consumer,Adelaide,South Australia,Australia,Oceania,OFF-BI-10002853,Office Supplies,Binders,"Avery Binder Covers, Recycled",20.574,2,0.1,8.454,41.148,50,5,No,Second Class
62,IN-2017-34702,9/14/2017,9/19/2017,Standard Class,EM-13960,Eric Murdock,Consumer,Adelaide,South Australia,Australia,Oceania,OFF-AR-10000539,Office Supplies,Art,"Boston Markers, Easy-Erase",119.88,5,0.1,-4.02,599.4,80,5,No,Second Class
63,IN-2016-20996,9/25/2016,9/29/2016,Standard Class,ML-18265,Muhammed Lee,Consumer,Kota Kinabalu,Sabah,Malaysia,Southeast Asia,OFF-PA-10002461,Office Supplies,Paper,"Eaton Parchment Paper, Multicolor",59.52,4,0,17.76,238.08,75,4,No,Second Class
64,ID-2016-28682,5/13/2016,5/15/2016,First Class,FO-14305,Frank Olsen,Consumer,Mount Gambier,South Australia,Australia,Oceania,OFF-PA-10000215,Office Supplies,Paper,"Eaton Parchment Paper, Premium",24.246,2,0.1,-0.834,48.492,50,2,No,First Class
65,ID-2016-28682,5/13/2016,5/15/2016,First Class,FO-14305,Frank Olsen,Consumer,Mount Gambier,South Australia,Australia,Oceania,TEC-PH-10002602,Technology,Phones,"Nokia Headset, Cordless",410.184,6,0.1,150.264,2461.1040000000003,83.33333333333333,2,No,First Class
66,ID-2016-28682,5/13/2016,5/15/2016,First Class,FO-14305,Frank Olsen,Consumer,Mount Gambier,South Australia,Australia,Oceania,FUR-CH-10004810,Furniture,Chairs,"Hon Swivel Stool, Set of Two",298.62,2,0.1,36.48,597.24,50,2,No,First Class
67,IN-2015-78823,9/16/2015,9/21/2015,Standard Class,ME-17725,Max Engle,Consumer,Raipur,Rajasthan,India,Central Asia,OFF-ST-10000220,Office Supplies,Storage,"Rogers Shelving, Industrial",187.83,3,0,33.75,563.49,66.66666666666666,5,No,Second Class
68,IN-2015-78823,9/16/2015,9/21/2015,Standard Class,ME-17725,Max Engle,Consumer,Raipur,Rajasthan,India,Central Asia,FUR-FU-10004820,Furniture,Furnishings,"Advantus Photo Frame, Erganomic",361.2,7,0,155.19,2528.4,85.71428571428572,5,No,Second Class
69,IN-2015-78823,9/16/2015,9/21/2015,Standard Class,ME-17725,Max Engle,Consumer,Raipur,Rajasthan,India,Central Asia,OFF-FA-10000577,Office Supplies,Fasteners,"Stockwell Push Pins, 12 Pack",26.82,2,0,13.38,53.64,50,5,No,Second Class
70,IN-2015-78823,9/16/2015,9/21/2015,Standard Class,ME-17725,Max Engle,Consumer,Raipur,Rajasthan,India,Central Asia,OFF-FA-10004813,Office Supplies,Fasteners,"Stockwell Rubber Bands, Bulk Pack",49.59,3,0,12.33,148.77,66.66666666666666,5,No,Second Class
71,IN-2015-78823,9/16/2015,9/21/2015,Standard Class,ME-17725,Max Engle,Consumer,Raipur,Rajasthan,India,Central Asia,OFF-FA-10003218,Office Supplies,Fasteners,"Advantus Push Pins, Assorted Sizes",35.64,3,0,14.58,106.92,66.66666666666666,5,No,Second Class
72,IN-2015-78823,9/16/2015,9/21/2015,Standard Class,ME-17725,Max Engle,Consumer,Raipur,Rajasthan,India,Central Asia,OFF-LA-10004114,Office Supplies,Labels,"Avery File Folder Labels, Alphabetical",53.64,6,0,15.48,321.84000000000003,83.33333333333334,5,No,Second Class
73,ID-2017-67952,7/6/2017,7/10/2017,Standard Class,CS-12175,Charles Sheldon,Corporate,Canberra,Australian Capital Territory,Australia,Oceania,TEC-AC-10000111,Technology,Accessories,"SanDisk Mouse, USB",23.112,1,0.4,-15.408,23.112,0,4,No,Second Class
74,IN-2015-21983,8/13/2015,8/17/2015,Standard Class,CR-12580,Clay Rozendal,Home Office,Varanasi,Uttar Pradesh,India,Central Asia,FUR-FU-10002525,Furniture,Furnishings,"Deflect-O Door Stop, Erganomic",127.71,3,0,59.94,383.13,66.66666666666667,4,No,Second Class
75,IN-2017-41681,10/4/2017,10/9/2017,Standard Class,MS-17710,Maurice Satty,Consumer,Bundaberg,Queensland,Australia,Oceania,OFF-AR-10004780,Office Supplies,Art,"Stanley Markers, Blue",59.94,3,0.1,25.29,179.82,66.66666666666666,5,No,Second Class
76,IN-2018-32091,7/11/2018,7/15/2018,Standard Class,CK-12595,Clytie Kelty,Consumer,Jingdezhen,Jiangxi,China,North Asia,FUR-FU-10000666,Furniture,Furnishings,"Rubbermaid Frame, Black",219.78,2,0,59.34,439.56,50,4,Yes,Second Class
77,IN-2018-32091,7/11/2018,7/15/2018,Standard Class,CK-12595,Clytie Kelty,Consumer,Jingdezhen,Jiangxi,China,North Asia,OFF-ST-10001824,Office Supplies,Storage,"Rogers Box, Single Width",72,3,0,4.32,216,66.66666666666666,4,Yes,Second Class
78,IN-2016-65747,4/11/2016,4/16/2016,Standard Class,JC-15340,Jasper Cacioppo,Consumer,Brisbane,Queensland,Australia,Oceania,OFF-BI-10002562,Office Supplies,Binders,"Ibico Binding Machine, Durable",190.512,4,0.1,65.592,762.048,75.00000000000001,5,No,Second Class
79,ID-2016-20562,6/5/2016,6/10/2016,Standard Class,RM-19375,Raymond Messe,Consumer,Sydney,New South Wales,Australia,Oceania,OFF-BI-10001967,Office Supplies,Binders,"Acco Binder, Recycled",13.959,1,0.1,-0.951,13.959,0,5,No,Second Class
80,ID-2017-18448,6/18/2017,6/22/2017,Standard Class,NC-18415,Nathan Cano,Consumer,Bangkok,Bangkok,Thailand,Southeast Asia,OFF-LA-10002272,Office Supplies,Labels,"Smead File Folder Labels, Alphabetical",9.222,2,0.47,-6.798,18.444,50,4,No,Second Class
81,ID-2017-18448,6/18/2017,6/22/2017,Standard Class,NC-18415,Nathan Cano,Consumer,Bangkok,Bangkok,Thailand,Southeast Asia,OFF-BI-10004868,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Durable",35.0343,7,0.17,-5.9157,245.2401,85.71428571428571,4,No,Second Class
82,ID-2017-18448,6/18/2017,6/22/2017,Standard Class,NC-18415,Nathan Cano,Consumer,Bangkok,Bangkok,Thailand,Southeast Asia,OFF-LA-10004848,Office Supplies,Labels,"Avery Legal Exhibit Labels, 5000 Label Set",18.6507,3,0.47,-1.4193,55.9521,66.66666666666666,4,No,Second Class
83,IN-2018-29753,11/13/2018,11/19/2018,Standard Class,NS-18640,Noel Staavos,Corporate,Baotou,Inner Mongolia,China,North Asia,OFF-LA-10003778,Office Supplies,Labels,"Novimex File Folder Labels, Alphabetical",32.28,4,0,8.28,129.12,75,6,No,Standard Class
84,IN-2018-29753,11/13/2018,11/19/2018,Standard Class,NS-18640,Noel Staavos,Corporate,Baotou,Inner Mongolia,China,North Asia,TEC-AC-10001278,Technology,Accessories,"Enermax Flash Drive, USB",125.19,3,0,29.97,375.57,66.66666666666666,6,No,Standard Class
85,IN-2018-29753,11/13/2018,11/19/2018,Standard Class,NS-18640,Noel Staavos,Corporate,Baotou,Inner Mongolia,China,North Asia,OFF-ST-10000704,Office Supplies,Storage,"Rogers File Cart, Blue",562.68,4,0,208.08,2250.72,75,6,No,Standard Class
86,IN-2018-55513,12/9/2018,12/13/2018,Standard Class,CR-12580,Clay Rozendal,Home Office,Kanpur,Uttar Pradesh,India,Central Asia,OFF-ST-10003810,Office Supplies,Storage,"Tenex Box, Single Width",115.71,7,0,40.32,809.9699999999999,85.71428571428571,4,No,Second Class
87,IN-2018-55513,12/9/2018,12/13/2018,Standard Class,CR-12580,Clay Rozendal,Home Office,Kanpur,Uttar Pradesh,India,Central Asia,OFF-EN-10000114,Office Supplies,Envelopes,"Kraft Clasp Envelope, Security-Tint",45.6,4,0,0.84,182.4,75,4,No,Second Class
88,IN-2018-76674,9/14/2018,9/20/2018,Standard Class,MZ-17515,Mary Zewe,Corporate,Kasugai,Aichi,Japan,North Asia,OFF-AR-10001405,Office Supplies,Art,"Binney & Smith Highlighters, Fluorescent",53.55,3,0,6.93,160.64999999999998,66.66666666666666,6,No,Standard Class
89,IN-2018-76674,9/14/2018,9/20/2018,Standard Class,MZ-17515,Mary Zewe,Corporate,Kasugai,Aichi,Japan,North Asia,FUR-CH-10002188,Furniture,Chairs,"SAFCO Steel Folding Chair, Set of Two",351.84,4,0,147.72,1407.36,75,6,No,Standard Class
90,ID-2017-79964,1/6/2017,1/7/2017,First Class,RS-19765,Roland Schwarz,Corporate,Mackay,Queensland,Australia,Oceania,OFF-ST-10003445,Office Supplies,Storage,"Rogers Folders, Industrial",84.159,3,0.1,-6.561,252.47700000000003,66.66666666666667,1,No,First Class
91,IN-2018-47463,2/28/2018,3/5/2018,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,Canberra,Australian Capital Territory,Australia,Oceania,OFF-BI-10002424,Office Supplies,Binders,"Avery Binder, Economy",15.48,2,0.4,0.24,30.96,50,5,No,Second Class
92,IN-2015-42591,11/26/2015,11/30/2015,Standard Class,MA-17995,Michelle Arnett,Home Office,Melbourne,Victoria,Australia,Oceania,OFF-LA-10000506,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",39.42,4,0.1,8.22,157.68,75,4,No,Second Class
93,ID-2018-17657,6/25/2018,6/30/2018,Standard Class,FC-14245,Frank Carlisle,Home Office,Bangkok,Bangkok,Thailand,Southeast Asia,OFF-PA-10004260,Office Supplies,Paper,"Xerox Memo Slips, Recycled",28.4928,4,0.47,-5.4672,113.9712,75,5,No,Second Class
94,IN-2017-59755,4/27/2017,4/30/2017,Second Class,PG-18820,Patrick Gardner,Consumer,Phnom Penh,Phnom Penh,Cambodia,Southeast Asia,FUR-CH-10004009,Furniture,Chairs,"SAFCO Rocking Chair, Set of Two",137.16,1,0,31.53,137.16,0,3,No,Second Class
95,IN-2017-59755,4/27/2017,4/30/2017,Second Class,PG-18820,Patrick Gardner,Consumer,Phnom Penh,Phnom Penh,Cambodia,Southeast Asia,FUR-BO-10000288,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",1314.45,3,0,39.42,3943.3500000000004,66.66666666666667,3,No,Second Class
